,temp,D1_1,D1_2,D1_3,D1_4
0,65.0,4.28,4.84,4.49,4.32
1,60.0,4.2,4.67,4.29,4.15
2,55.0,3.94,4.49,4.08,3.98
3,50.0,3.78,4.28,3.86,3.8
4,47.0,3.7,4.14,3.72,3.68
5,45.0,3.61,4.04,3.61,3.59
6,40.0,3.48,3.83,3.32,3.35
7,35.0,3.1,2.8,2.91,2.81
8,30.0,2.9,2.65,2.79,2.65
9,25.0,2.75,2.51,2.64,2.54
10,20.0,2.6,2.37,2.5,2.47
11,17.0,2.45,2.27,2.4,2.44
12,15.0,2.36,2.21,2.34,2.37
13,10.0,2.25,2.04,2.16,2.19
14,5.0,2.09,1.86,1.97,2.0
15,0.0,1.93,1.67,1.77,1.79
16,-5.0,1.72,1.46,1.56,1.57
17,-10.0,1.5,1.24,1.32,1.33
